Date/Time,Electricity:Building [J](TimeStep),Electricity:Zone:LIVING_UNIT1 [J](TimeStep),Electricity:HVAC [J](TimeStep) 
 08/01  03:00:00,2206408.707058266,2206408.707058266,1610539.1208260854 
 08/01  04:00:00,2155182.0550951475,2155182.0550951475,1081620.1538270112 
 08/01  05:00:00,2291055.620266884,2291055.620266884,742282.8991702782 
 08/01  06:00:00,2813501.501521538,2813501.501521538,1021328.6686350495 
 08/01  07:00:00,3371875.054726362,3371875.054726362,1585041.9872675543 
 08/01  08:00:00,3729475.7780087266,3729475.7780087266,2893266.052765144 
 08/01  09:00:00,3298618.617333378,3298618.617333378,5226878.833274142 
 08/01  10:00:00,3122592.2634365067,3122592.2634365067,7714347.653766458 
 08/01  11:00:00,3178856.656011372,3178856.656011372,9430030.570927453 
 08/01  12:00:00,3222596.597944462,3222596.597944462,9223406.270706758 
 08/01  13:00:00,3174829.2448341168,3174829.2448341168,9690712.257770105 
 08/01  14:00:00,3121083.862455791,3121083.862455791,10150055.265137919 
 08/01  15:00:00,3130150.3294255619,3130150.3294255619,8605839.080609644 
 08/01  16:00:00,3397295.8878673256,3397295.8878673256,10419000.739612904 
 08/01  17:00:00,4285039.822795357,4285039.822795357,7833338.315209189 
 08/01  18:00:00,5398091.6345649179,5398091.6345649179,8567331.992025063 
 08/01  19:00:00,5779156.670941541,5779156.670941541,7897078.306129193 
 08/01  20:00:00,5686615.049543408,5686615.049543408,6447034.671270005 
 08/01  21:00:00,5614088.481939626,5614088.481939626,4338737.138711022 
 08/01  22:00:00,5143274.6127171409,5143274.6127171409,4692600.422806659 
 08/01  23:00:00,4102397.32953754,4102397.32953754,4088024.326038243 
 08/01  24:00:00,3198484.434672712,3198484.434672712,3083518.1731508166 
 08/02  01:00:00,2486500.2610301256,2486500.2610301256,2071768.167873431 
 08/02  02:00:00,2275929.455018319,2275929.455018319,1609850.5250822409 
 08/02  03:00:00,2206408.707058266,2206408.707058266,1231503.4992661232 
 08/02  04:00:00,2155182.0550951475,2155182.0550951475,929827.5861604635 
 08/02  05:00:00,2291055.620266884,2291055.620266884,686083.3488858548 
 08/02  06:00:00,2813501.501521538,2813501.501521538,864037.7993925001 
 08/02  07:00:00,3371875.054726362,3371875.054726362,1144939.3430996123 
 08/02  08:00:00,3729475.7780087266,3729475.7780087266,2546590.083576891 
 08/02  09:00:00,3298618.617333378,3298618.617333378,6834091.683289222 
 08/02  10:00:00,3122592.2634365067,3122592.2634365067,8541827.160103955 
 08/02  11:00:00,3178856.656011372,3178856.656011372,9559532.362856832 
 08/02  12:00:00,3222596.597944462,3222596.597944462,9615539.880935124 
 08/02  13:00:00,3174829.2448341168,3174829.2448341168,9836706.849142025 
 08/02  14:00:00,3121083.862455791,3121083.862455791,10887770.402451039 
 08/02  15:00:00,3130150.3294255619,3130150.3294255619,10929383.19014631 
 08/02  16:00:00,3397295.8878673256,3397295.8878673256,10772941.012265888 
 08/02  17:00:00,4285039.822795357,4285039.822795357,9924750.207517786 
 08/02  18:00:00,5398091.6345649179,5398091.6345649179,8802119.55253909 
 08/02  19:00:00,5779156.670941541,5779156.670941541,7828008.874090901 
 08/02  20:00:00,5686615.049543408,5686615.049543408,6287012.697361145 
 08/02  21:00:00,5614088.481939626,5614088.481939626,6257025.130564839 
 08/02  22:00:00,5143274.6127171409,5143274.6127171409,5318164.954332392 
 08/02  23:00:00,4102397.32953754,4102397.32953754,4519108.91908956 
 08/02  24:00:00,3198484.434672712,3198484.434672712,3540380.7439472929 
 08/03  01:00:00,2486500.2610301256,2486500.2610301256,3267727.9826351006 
 08/03  02:00:00,2275929.455018319,2275929.455018319,2408879.3981908007 
